,0
524,SABR
525,WIT
526,LYB
527,DISH
528,NE
529,MGA
530,AEO
531,XHB
532,BP
533,XEL
534,NTNX
535,VVV
536,DDR
537,HQY
538,ARCC
539,UPS
540,MUR
541,OMAM
542,VMC
543,SDS
544,NOMD
545,ANTM
546,PAY
547,SFIX
548,CCE
549,GD
550,KIM
551,FNF
552,BXMT
553,NWS
554,CHD
555,XLY
556,DLR
557,IP
558,CLI
559,SE
560,CC
561,DAN
562,ZBH
563,NVAX
564,LPX
565,ALDR
566,BBY
567,GRUB
568,BG
569,LC
570,PWR
571,TNDM
572,DXCM
573,NTCT
574,RDC
575,NYMT
576,NEM
577,BEN
578,LUK
579,SHLX
580,CIVI
581,NAVI
582,AET
583,PBH
584,SBH
585,SEP
586,NI
587,LLY
588,STNG
589,TTWO
590,KLAC
591,LADR
592,XRT
593,FHN
594,GOOG
595,DVMT
596,HSIC
597,CXO
598,HLX
599,RSG
600,BIG
601,CYH
602,PAYC
603,GCP
604,YUM
605,STZ
606,EWH
607,LBTYK
608,LYG
609,MEOH
610,GIII
611,USFD
612,SSO
613,SFM
614,SPXL
615,THC
616,DOC
617,ALLY
618,QRVO
619,TOPS
620,AVP
621,HEDJ
622,EVR
623,CMS
624,XLB
625,DOX
626,RIO
627,HMHC
628,NMRK
629,PDM
630,KMT
631,SRNE
632,AMR
633,HP
634,FLR
635,BFR
636,JHG
637,FDX
638,EMN
639,OPK
640,LNG
641,EWZ
642,WU
643,BAX
644,AOBC
645,CARS
646,NUAN
647,TEL
648,MLM
649,GWW
650,PBF
651,AGN
652,GT
653,EA
654,GPRO
655,BW
656,CMI
657,CNQ
658,HCA
659,INXN
660,VRTX
661,QTS
662,SAN
663,CNHI
664,CNX
665,INFO
666,YY
667,ES
668,DXJ
669,FWONK
670,ARMK
671,OII
672,NOW
673,ILG
674,APTV
675,HOMB
676,QD
677,NSC
678,NKTR
679,PSX
680,GAB
681,WIN
682,CERN
683,UPRO
684,MCHI
685,AKAM
686,IEF
687,CS
688,ARRS
689,PNW
690,AMH
691,CDNS
692,LABD
693,FOE
694,A
695,MDRX
696,MOS
697,CTB
698,LPL
699,SKX
700,HST
701,UE
702,PHM
703,MT
704,ISBC
705,KLDX
706,CAAP
707,WRE
708,RRC
709,FL
710,NTAP
711,AGO
712,DRE
713,BBBY
714,CCJ
715,MAR
716,AXTA
717,VIAV
718,SHOO
719,CONE
720,LOGM
721,AEM
722,BB
723,CB
724,PRU
725,RUN
726,MNK
727,PVG
728,HA
729,INDA
730,PBCT
731,UCBI
732,LBTYA
733,AVYA
734,CBSH
735,SC
736,ANF
737,HIG
738,ITW
739,AZN
740,YELP
741,MTOR
742,ARRY
743,EVC
744,MITL
745,SPXS
746,IRM
747,TSCO
748,EWC
749,NWY
750,POST
751,EL
752,ING
753,UBS
754,KRG
755,VSH
756,TER
757,EMB
758,LHO
759,SPSB
760,TWLO
761,TRUE
762,RLGY
763,HPP
764,CNO
765,JNPR
766,SMH
767,URBN
768,ROKU
769,FEDU
770,ETM
771,BANC
772,INVH
773,OMF
774,LW
775,CTRE
776,NHI
777,CBL
778,FE
779,NOC
780,ASH
781,MCHP
782,KLIC
783,O
784,TAHO
785,XLV
786,FET
787,TPH
788,AMX
789,FLO
790,SPN
791,SHO
792,TEAM
793,COF
794,PFPT
795,EWL
796,FLT
797,PLUG
798,HIMX
799,IGT
800,IBB
801,FANG
802,XLRE
803,HRG
804,TROW
805,SN
806,ARLP
807,RXN
808,OSK
809,DHR
810,EVHC
811,BLMN
812,UPL
813,ORBK
814,BNDX
815,AMN
816,PPC
817,GNTX
818,RCL
819,INTU
820,W
821,PCAR
822,IR
823,PEG
824,FBP
825,WEC
826,MDC
827,TISI
828,YUMC
829,HMSY
830,IMMU
831,ALV
832,IWF
833,BHP
834,BXP
835,BYD
836,WGO
837,KSU
838,PUMP
839,XLNX
840,NOG
841,GLOG
842,FOLD
843,JBHT
844,AGG
845,FBHS
846,TXT
847,EXPD
848,PDLI
849,SHPG
850,EXPE
851,TVPT
852,WERN
853,AGI
854,ED
855,HCSG
856,DVAX
857,DLTR
858,GNC
859,VIXY
860,OUT
861,MTSI
862,DBD
863,CBT
864,STOR
865,VEU
866,FBR
867,BGCP
868,VCIT
869,ABB
870,GTE
871,SWKS
872,CP
873,PNR
874,PKI
875,IIVI
876,CROX
877,ASB
878,UHS
879,ENB
880,TDC
881,AG
882,ACHC
883,NAT
884,MLHR
885,SPG
886,EWA
887,ENLK
888,QRTEA
889,TRIP
890,TRP
891,FAST
892,RH
893,IVV
894,CBRE
895,HGV
896,AEG
897,BTI
898,VIAB
899,EWP
900,NVS
901,EWBC
902,QSR
903,NXTM
904,GSAT
905,DBEU
906,TTPH
907,VRAY
908,SGH
909,ALNY
910,SCHB
911,BMRN
912,CA
913,CASA
914,CXP
915,SCZ
916,AGNC
917,DF
918,HRTX
919,LDOS
920,VSLR
921,MPW
922,TXMD
923,CIM
924,ECYT
925,QCP
926,NYLD
927,INSM
928,ETH
929,KS
930,NG
931,BGFV
932,AEE
933,HCC
934,LAMR
935,FIT
936,EXEL
937,HZNP
938,ADI
939,FLOT
940,AKBA
941,LPNT
942,OLED
943,EYE
944,CBS
945,MBT
946,TMO
947,LBRDA
948,HCLP
949,OFC
950,STT
951,HLF
952,WRK
953,GREK
954,BR
955,ORIG
956,MCD
957,PRO
958,SSNC
959,TWO
960,CHTR
961,AXL
962,ACAD
963,VLY
964,VOD
965,EXTR
966,BTE
967,FEYE
968,HYH
969,SUN
970,VECO
971,ZEN
972,ATEN
973,CRC
974,WPZ
975,ATUS
976,SIG
977,BDC
978,ERIC
979,XPO
980,APO
981,FMSA
982,BSTI
983,CRI
984,MANH
985,AGCO
986,TILE
987,MMC
988,GNW
989,CAKE
990,CAR
